po_number,item,location,week,year,units,createDate
4501090470,20014461059,3000,24,2023,5.0,2023-02-17
4501076251,20014461059,3000,18,2023,17.0,2023-01-05
4501110277,20014461059,3000,31,2023,7.0,2023-04-20
4501090486,20014461059,3010,26,2023,17.0,2023-02-17
4501070829,20014461059,3000,19,2023,14.0,2022-12-15
4501083179,20014461059,3010,23,2023,10.0,2023-01-26
4501084254,20014461059,3220,17,2023,32.0,2023-01-27
4501110307,20014461059,3010,34,2023,57.0,2023-04-20
4501110241,20014461059,3000,29,2023,7.0,2023-04-20
4501083174,20014461059,3010,23,2023,10.0,2023-01-26
4501082919,20014461059,3000,18,2023,10.0,2023-01-26
4501110338,20014461059,3200,33,2023,21.0,2023-04-20
4501110243,20014461137,3000,29,2023,15.0,2023-04-20
4501083096,20014461137,3010,28,2023,7.0,2023-01-26
4501098590,20014461137,3220,26,2023,5.0,2023-03-10
4501084158,20014461137,3200,26,2023,1.0,2023-01-27
4501084249,20014461137,3220,20,2023,3.0,2023-01-27
4501083095,20014461137,3010,23,2023,7.0,2023-01-26
4501112639,20014461137,3000,34,2023,2.0,2023-04-27
4501084159,20014461137,3200,26,2023,1.0,2023-01-27
4501076298,20014461137,3010,23,2023,3.0,2023-01-05
4501084250,20014461137,3220,20,2023,3.0,2023-01-27
4501084155,20014461137,3200,20,2023,1.0,2023-01-27
4501086283,20014461137,3210,27,2023,5.0,2023-02-03
4501112654,20014461137,3000,32,2023,2.0,2023-04-27
4501067110,20014461137,3200,17,2023,3.0,2022-12-02
4501074385,20014461137,3010,20,2023,5.0,2022-12-29
4501110262,20014461137,3000,30,2023,15.0,2023-04-20
4501090482,20014461137,3010,28,2023,25.0,2023-02-17
4501087882,20014461137,3010,28,2023,11.0,2023-02-09
4501098583,20014461137,3210,30,2023,3.0,2023-03-10
4501084206,20014461137,3210,21,2023,4.0,2023-01-27
4501090453,20014461137,3000,27,2023,3.0,2023-02-17
4501098582,20014461137,3210,28,2023,3.0,2023-03-10
4501083094,20014461137,3010,23,2023,7.0,2023-01-26
4501110341,20014461137,3200,34,2023,1.0,2023-04-20
4501110368,20014461137,3220,28,2023,20.0,2023-04-20
4501110322,20014461137,3200,32,2023,1.0,2023-04-20
4501091142,20014461137,3210,25,2023,8.0,2023-02-17
4501110280,20014461137,3000,32,2023,15.0,2023-04-20
4501084207,20014461137,3210,25,2023,4.0,2023-01-27
4501084156,20014461137,3200,22,2023,1.0,2023-01-27
4501090456,20014461137,3000,27,2023,3.0,2023-02-17
4501098353,20014461137,3000,27,2023,8.0,2023-03-09
4501091220,20014461137,3220,26,2023,4.0,2023-02-17
4501084208,20014461137,3210,25,2023,4.0,2023-01-27
