#{"t_start": 1689883493.8249385, "env_id": "None"}
r,l,t
10375325.408887,5,2.900322
10375322.671701,5,2.900322
10375608.147844,5,2.900322
5175410.336786,5,2.915946
10374855.642077,5,2.915946
10375181.119579,5,2.915946
10375145.091008,5,2.937554
10375203.146083,5,2.937554
10374995.561767,5,2.94555
10375063.231344,5,2.953593
10375414.847548,5,2.961616
10375080.396597,5,2.961616
10375019.644196,5,2.969541
10375304.096692,5,2.977537
10375147.833805,5,2.985613
5175157.915335,5,2.985613
10374898.428873,5,2.993599
10374994.86325,5,3.000426
2575177.355382,5,3.000426
7775455.974368,5,3.000426
10374826.207632,5,3.01613
10374751.064769,5,3.01613
10375079.844111,5,3.01613
10375586.413154,5,3.031678
10375053.515466,5,3.031678
10375522.065433,5,3.0473
10375369.992444,5,3.052427
7775174.470012,5,3.060424
10375270.516611,5,3.06842
10375307.965476,5,3.06842
10375254.016037,5,3.076417
5175068.34941,5,3.084421
10375138.859286,5,3.09241
7775397.021648,5,3.09241
10375368.761698,5,3.100406
5175309.465794,5,3.108403
10375263.375591,5,3.108403
5174875.049119,5,3.117074
10374961.035465,5,3.117074
10375315.635775,5,3.117074
5175191.239372,5,3.132698
10375147.697605,5,3.132698
10375206.306425,5,3.148321
7775316.827217,5,3.153327
7775138.510613,5,3.161325
10375235.441532,5,3.169322
10375356.09694,5,3.177318
5175198.496215,5,3.177318
10374991.588036,5,3.185314
10375505.63906,5,3.193311
10375648.308836,5,3.201703
7775009.1293,5,3.209815
10375373.572189,5,3.217285
10375260.004941,5,3.217285
10375432.505819,5,3.217285
2575114.195746,5,3.233011
5175590.106965,5,3.248533
5174676.482248,5,3.248533
10375544.322494,5,3.264258
10375213.785924,5,3.269893
7775083.978158,5,3.277965
5175307.10847,5,3.277965
10375078.75702,5,3.285886
10374928.6287,5,3.293989
10375055.555285,5,3.301988
7775499.600782,5,3.301988
7775292.062038,5,3.30998
10375385.800943,5,3.317985
5175231.630461,5,3.317985
10375209.84941,5,3.325973
10375394.796052,5,3.333808
10375255.1437,5,3.333808
10375496.97346,5,3.333808
10375523.770249,5,3.349534
10375559.908585,5,3.349534
5075279.247128,5,3.349534
10375091.952075,5,3.369521
7774845.687953,5,3.377623
10375455.571404,5,3.377623
10375184.9819,5,3.38555
5174996.862527,5,3.393612
10374847.623387,5,3.401589
10375483.115393,5,3.401589
10375371.435552,5,3.409606
10375154.095093,5,3.417533
10375005.65444,5,3.417533
10374956.650988,5,3.425607
10375091.686544,5,3.433762
7775280.650769,5,3.433762
10375054.926928,5,3.433762
7775099.692956,5,3.44948
10374847.550959,5,3.44948
10375261.529377,5,3.44948
10375272.091878,5,3.465112
10374940.983936,5,3.465112
10375349.074651,5,3.465112
10375370.457413,5,3.485185
10374873.463789,5,3.493287
10375218.695341,5,3.493287
10375115.585203,5,3.509177
10375200.627012,5,3.517172
10375159.430754,5,3.517172
10375328.516995,5,3.525243
7775143.862004,5,3.533233
5175241.691539,5,3.541238
